TRANSACTION_ID,TRANSACTION_DATE,USER_FULL_NAME,GENDER,EMAIL_CONTACT,PRODUCT_DESCRIPTION,PRODUCT_UNIT_PRICE,QUANTITY,DISCOUNT_AMOUNT,NET_SALE_VALUE,REGION,COUNTRY,CAPITAL_CITY,EVENT_LOG_TIMESTAMP
1.46493E+12,2016-Jun-09 10:19:19,Mr.Millard Buchanan,m,m.millard.b.buchanan@in.defteam.com,ARTS,35,10,9,341,C.W. OF IND. STATES ,Turkmenistan ,Ashgabat,2016-Jun-03 10:19:19
1.46493E+12,2016-Jun-07 10:19:19,Mr.Jimmy Hoover,male,J@jimmy@hoover@gmail.com,FASHION,600,2,6,1194,C.W. OF IND. STATES ,Armenia ,Yerevan,2016-Jun-03 10:19:19
1.46493E+12,2016-Jun-09 10:19:19,Mrs.Martin Coolidge,f,m@hotmail.com,FURNITURE,450,8,9,3591,LATIN AMER. & CARIB    ,Puerto Rico ,San Juan,2016-Jun-03 10:19:19
1.46493E+12,2016-Jun-05 10:19:20,,,thomas.harrison.com,GADGETS,180,2,9,351,C.W. OF IND. STATES ,Uzbekistan ,Tashkent,2016-Jun-03 10:19:20
1.46493E+12,2016-Jun-06 10:19:20,Mr.Theodore Tyler,MALE,t.theodore.t.tyler@in.defteam.com,CUTLERY,75,6,1,449,ASIA (EX. NEAR EAST)         ,Cambodia ,Phnom Penh,2016-Jun-03 10:19:20
1.46493E+12,2016-Jun-05 10:19:20,Mrs.Ulysses Johnson,FEMALE,ulysses.2015-johnson-boom@gmail.com,ELECTRONICS,800,6,6,4794,C.W. OF IND. STATES ,Kazakhstan ,Astana,2016-Jun-03 10:19:20
1.46493E+12,2016-Jun-05 10:19:20,Mrs.Andrew Johnson,F,A@gmail.com,ARTS,35,4,1,139,WESTERN EUROPE                     ,Liechtenstein ,Vaduz,2016-Jun-03 10:19:20
1.46493E+12,2016-Jun-07 10:19:20,Mrs.Zachary Harrison,f,z.zachary.h.harrison+2015@facebook.com,CUTLERY,75,4,7,293,LATIN AMER. & CARIB    ,El Salvador ,San Salvador,2016-Jun-03 10:19:20
1.46493E+12,2016-Jun-09 10:19:21,Mrs.Warren Jackson,Female,warrenandjackson@yahoomail.com,LIGHTING,55,2,3,107,SUB-SAHARAN AFRICA                 ,Ghana ,Accra,2016-Jun-03 10:19:21
1.46493E+12,2016-Jun-07 10:19:21,Mrs.John Quincy,female,john.quincy.com,ENTERTAINMENT,110,8,6,874,C.W. OF IND. STATES ,Uzbekistan ,Tashkent,2016-Jun-03 10:19:21
1.46493E+12,2016-Jun-08 10:19:21,,,grover.pierce.com,MUSIC,20,2,5,35,SUB-SAHARAN AFRICA                 ,Liberia ,Monrovia,2016-Jun-03 10:19:21
1.46493E+12,2016-Jun-08 10:19:22,Mr.Lyndon Roosevelt,M,lyndon.roosevelt@outlook.com,GADGETS,180,1,1,179,SUB-SAHARAN AFRICA                 ,Cameroon ,Yaoundé,2016-Jun-03 10:19:22
1.46493E+12,2016-Jun-06 10:19:22,Mr.John Harding,m,john.harding@outlook.com,FASHION,600,7,5,4195,ASIA (EX. NEAR EAST)         ,Thailand ,Bangkok,2016-Jun-03 10:19:22
1.46493E+12,2016-Jun-05 10:19:23,Mr.Ronald Jefferson,Male,r@hotmail.com,COMPUTER PERIPHERALS,80,7,8,552,LATIN AMER. & CARIB    ,Jamaica ,Kingston,2016-Jun-03 10:19:23
1.46493E+12,2016-Jun-08 10:19:24,Mr.Herbert Polk,Male,h@hotmail.com,PAINTING,175,7,4,1221,SUB-SAHARAN AFRICA                 ,Zambia ,Lusaka,2016-Jun-03 10:19:24
1.46493E+12,2016-Jun-06 10:19:24,Mrs.Benjamin Carter,FEMALE,b.benjamin.c.carter@in.defteam.com,GADGETS,180,10,8,1792,NORTHERN AFRICA                    ,Algeria ,Algiers,2016-Jun-03 10:19:24
1.46493E+12,2016-Jun-06 10:19:25,,,harry.KENNEDY@yahoomail.com,GIFTS,60,8,8,472,C.W. OF IND. STATES ,Azerbaijan ,Baku,2016-Jun-03 10:19:25
1.46493E+12,2016-Jun-08 10:19:25,Mrs.Franklin Van Buren,Female,F@franklin@van buren@gmail.com,ELECTRONICS,800,4,2,3198,EASTERN EUROPE                     ,Macedonia ,Skopje,2016-Jun-03 10:19:25
1.46493E+12,2016-Jun-06 10:19:25,Mr.Millard Coolidge,M,millard.COOLIDGE@yahoomail.com,VISUAL,275,4,4,1096,SUB-SAHARAN AFRICA                 ,Benin ,Porto-Novo,2016-Jun-03 10:19:25
1.46493E+12,2016-Jun-05 10:19:25,Mr.Dwight Jackson,Male,dwightandjackson@yahoomail.com,MUSIC,20,10,4,196,LATIN AMER. & CARIB    ,Jamaica ,Kingston,2016-Jun-03 10:19:25
1.46493E+12,2016-Jun-07 10:19:25,Mr.Chester Clinton,Male,chester..clinton@facebook.com,ELECTRONICS,800,4,4,3196,LATIN AMER. & CARIB    ,Honduras ,Tegucigalpa,2016-Jun-03 10:19:25
1.46493E+12,2016-Jun-09 10:19:25,Mrs.Ronald Harding,female,R@gmail.com,FURNITURE,450,5,2,2248,SUB-SAHARAN AFRICA                 ,Saint Helena ,Jamestown,2016-Jun-03 10:19:25
1.46493E+12,2016-Jun-09 10:19:26,Mr.James Madison,Male,jamesandmadison@yahoomail.com,CUTLERY,75,8,3,597,OCEANIA                            ,Papua New Guinea ,Port Moresby,2016-Jun-03 10:19:26
1.46493E+12,2016-Jun-06 10:19:26,Mrs.Ronald Johnson,F,ronald_johnson@hotmail.com,FOOTWEAR,45,5,5,220,NEAR EAST                          ,United Arab Emirates ,Abu Dhabi,2016-Jun-03 10:19:26
1.46493E+12,2016-Jun-08 10:19:27,Mrs.Benjamin Taft,F,B@benjamin@taft@gmail.com,FASHION,600,5,3,2997,OCEANIA                            ,Palau ,Melekeok,2016-Jun-03 10:19:27
1.46493E+12,2016-Jun-05 10:19:27,Mr.Herbert Roosevelt,MALE,herbert..roosevelt@facebook.com,CUTLERY,75,7,1,524,LATIN AMER. & CARIB    ,Aruba ,Oranjestad,2016-Jun-03 10:19:27
1.46493E+12,2016-Jun-05 10:19:27,Mrs.George Kennedy,f,george..kennedy@facebook.com,FOOTWEAR,45,8,1,359,NEAR EAST                          ,Syria ,Damascus,2016-Jun-03 10:19:27
1.46493E+12,2016-Jun-09 10:19:27,Mr.Richard Ford,MALE,r.richard.f.ford+2015@facebook.com,HANDICRAFT,150,5,9,741,ASIA (EX. NEAR EAST)         ,Thailand ,Bangkok,2016-Jun-03 10:19:27
1.46493E+12,2016-Jun-07 10:19:27,Mr.William Eisenhower,M,william.eisenhower.com,MOBILE,500,3,5,1495,WESTERN EUROPE                     ,Finland ,Helsinki,2016-Jun-03 10:19:27
1.46493E+12,2016-Jun-07 10:19:28,,,herbert.quincy@outlook.com,COMPUTER PERIPHERALS,80,6,4,476,OCEANIA                            ,Cook Islands ,Avarua,2016-Jun-03 10:19:28
1.46493E+12,2016-Jun-09 10:19:28,Mrs.Abraham Jefferson,FEMALE,abraham.2015-jefferson-boom@gmail.com,HANDICRAFT,150,2,4,296,C.W. OF IND. STATES ,Ukraine ,Kiev,2016-Jun-03 10:19:28
1.46493E+12,2016-Jun-05 10:19:29,Mrs.Andrew Adams,F,andrew.2015-adams-boom@gmail.com,OPTICAL,50,2,8,92,SUB-SAHARAN AFRICA                 ,Burundi ,Bujumbura,2016-Jun-03 10:19:29
1.46493E+12,2016-Jun-08 10:19:29,Mr.Bill Pierce,m,bill.pierce.com,FURNITURE,450,5,7,2243,ASIA (EX. NEAR EAST)         ,Pakistan ,Islamabad,2016-Jun-03 10:19:29
1.46493E+12,2016-Jun-05 10:19:30,,,C@gmail.com,WARDROBE,850,2,9,1691,OCEANIA                            ,New Caledonia ,Nouméa,2016-Jun-03 10:19:30
1.46493E+12,2016-Jun-09 10:19:30,Mrs.Millard Adams,female,millard.adams@outlook..com,MOBILE,500,9,3,4497,LATIN AMER. & CARIB    ,Colombia ,Bogotá,2016-Jun-03 10:19:30
1.46493E+12,2016-Jun-09 10:19:31,Mrs.Millard Coolidge,F,millardandcoolidge@yahoomail.com,SOFTWARE,40,5,6,194,C.W. OF IND. STATES ,Armenia ,Yerevan,2016-Jun-03 10:19:31
1.46493E+12,2016-Jun-08 10:19:31,Mr.Thomas Roosevelt,Male,thomas.roosevelt@outlook.com,FURNITURE,450,5,3,2247,C.W. OF IND. STATES ,Armenia ,Yerevan,2016-Jun-03 10:19:31
1.46493E+12,2016-Jun-06 10:19:31,Mr.Benjamin Fillmore,MALE,benjamin.2015-fillmore-boom@gmail.com,ELECTRONICS,800,4,7,3193,ASIA (EX. NEAR EAST)         ,Japan ,Tokyo,2016-Jun-03 10:19:31
1.46493E+12,2016-Jun-05 10:19:31,,,r.rutherford.t.tyler@in.defteam.com,COMPUTER PERIPHERALS,80,9,3,717,WESTERN EUROPE                     ,San Marino ,San Marino,2016-Jun-03 10:19:31
1.46493E+12,2016-Jun-05 10:19:33,Mr.Lyndon Buchanan,M,l@hotmail.com,CUTLERY,75,8,2,598,NEAR EAST                          ,Qatar ,Doha,2016-Jun-03 10:19:33
1.46493E+12,2016-Jun-06 10:19:34,Mr.Warren Carter,M,W@warren@carter@gmail.com,GIFTS,60,6,3,357,WESTERN EUROPE                     ,Luxembourg ,Luxembourg,2016-Jun-03 10:19:34
1.46493E+12,2016-Jun-06 10:19:35,Mr.Theodore Cleveland,m,theodoreandcleveland@yahoomail.com,CROCKERY,30,1,4,26,OCEANIA                            ,Tuvalu ,Funafuti,2016-Jun-03 10:19:35
