TRANSACTION_ID,TRANSACTION_DATE,GENDER,EMAIL_CONTACT,PRODUCT_DESCRIPTION,PRODUCT_UNIT_PRICE,QUANTITY,DISCOUNT_AMOUNT,NET_SALE_VALUE,REGION,COUNTRY,CAPITAL_CITY,EVENT_LOG_TIMESTAMP,First Name,Last Name,Year,Month,Day,Week,Quarter
1464930000000.0,2016-06-09,MALE,m.millard.b.buchanan@in.defteam.com,ARTS,35,10,9,341,C.W. OF IND. STATES ,Turkmenistan ,Ashgabat,2016-Jun-03 10:19:19,Mr.Millard,Buchanan,2016,6,9,23,2
1464930000000.0,2016-06-09,FEMALE,m@hotmail.com,FURNITURE,450,8,9,3591,LATIN AMER. & CARIB    ,Puerto Rico ,San Juan,2016-Jun-03 10:19:19,Mrs.Martin,Coolidge,2016,6,9,23,2
1464930000000.0,2016-06-06,MALE,t.theodore.t.tyler@in.defteam.com,CUTLERY,75,6,1,449,ASIA (EX. NEAR EAST)         ,Cambodia ,Phnom Penh,2016-Jun-03 10:19:20,Mr.Theodore,Tyler,2016,6,6,23,2
1464930000000.0,2016-06-05,FEMALE,ulysses.2015-johnson-boom@gmail.com,ELECTRONICS,800,6,6,4794,C.W. OF IND. STATES ,Kazakhstan ,Astana,2016-Jun-03 10:19:20,Mrs.Ulysses,Johnson,2016,6,5,22,2
1464930000000.0,2016-06-05,FEMALE,A@gmail.com,ARTS,35,4,1,139,WESTERN EUROPE                     ,Liechtenstein ,Vaduz,2016-Jun-03 10:19:20,Mrs.Andrew,Johnson,2016,6,5,22,2
1464930000000.0,2016-06-09,FEMALE,warrenandjackson@yahoomail.com,LIGHTING,55,2,3,107,SUB-SAHARAN AFRICA                 ,Ghana ,Accra,2016-Jun-03 10:19:21,Mrs.Warren,Jackson,2016,6,9,23,2
1464930000000.0,2016-06-08,MALE,lyndon.roosevelt@outlook.com,GADGETS,180,1,1,179,SUB-SAHARAN AFRICA                 ,Cameroon ,Yaoundé,2016-Jun-03 10:19:22,Mr.Lyndon,Roosevelt,2016,6,8,23,2
1464930000000.0,2016-06-06,MALE,john.harding@outlook.com,FASHION,600,7,5,4195,ASIA (EX. NEAR EAST)         ,Thailand ,Bangkok,2016-Jun-03 10:19:22,Mr.John,Harding,2016,6,6,23,2
1464930000000.0,2016-06-05,MALE,r@hotmail.com,COMPUTER PERIPHERALS,80,7,8,552,LATIN AMER. & CARIB    ,Jamaica ,Kingston,2016-Jun-03 10:19:23,Mr.Ronald,Jefferson,2016,6,5,22,2
1464930000000.0,2016-06-08,MALE,h@hotmail.com,PAINTING,175,7,4,1221,SUB-SAHARAN AFRICA                 ,Zambia ,Lusaka,2016-Jun-03 10:19:24,Mr.Herbert,Polk,2016,6,8,23,2
1464930000000.0,2016-06-06,FEMALE,b.benjamin.c.carter@in.defteam.com,GADGETS,180,10,8,1792,NORTHERN AFRICA                    ,Algeria ,Algiers,2016-Jun-03 10:19:24,Mrs.Benjamin,Carter,2016,6,6,23,2
1464930000000.0,2016-06-06,MALE,millard.COOLIDGE@yahoomail.com,VISUAL,275,4,4,1096,SUB-SAHARAN AFRICA                 ,Benin ,Porto-Novo,2016-Jun-03 10:19:25,Mr.Millard,Coolidge,2016,6,6,23,2
1464930000000.0,2016-06-05,MALE,dwightandjackson@yahoomail.com,MUSIC,20,10,4,196,LATIN AMER. & CARIB    ,Jamaica ,Kingston,2016-Jun-03 10:19:25,Mr.Dwight,Jackson,2016,6,5,22,2
1464930000000.0,2016-06-09,FEMALE,R@gmail.com,FURNITURE,450,5,2,2248,SUB-SAHARAN AFRICA                 ,Saint Helena ,Jamestown,2016-Jun-03 10:19:25,Mrs.Ronald,Harding,2016,6,9,23,2
1464930000000.0,2016-06-09,MALE,jamesandmadison@yahoomail.com,CUTLERY,75,8,3,597,OCEANIA                            ,Papua New Guinea ,Port Moresby,2016-Jun-03 10:19:26,Mr.James,Madison,2016,6,9,23,2
1464930000000.0,2016-06-06,FEMALE,ronald_johnson@hotmail.com,FOOTWEAR,45,5,5,220,NEAR EAST                          ,United Arab Emirates ,Abu Dhabi,2016-Jun-03 10:19:26,Mrs.Ronald,Johnson,2016,6,6,23,2
1464930000000.0,2016-06-09,FEMALE,abraham.2015-jefferson-boom@gmail.com,HANDICRAFT,150,2,4,296,C.W. OF IND. STATES ,Ukraine ,Kiev,2016-Jun-03 10:19:28,Mrs.Abraham,Jefferson,2016,6,9,23,2
1464930000000.0,2016-06-05,FEMALE,andrew.2015-adams-boom@gmail.com,OPTICAL,50,2,8,92,SUB-SAHARAN AFRICA                 ,Burundi ,Bujumbura,2016-Jun-03 10:19:29,Mrs.Andrew,Adams,2016,6,5,22,2
1464930000000.0,2016-06-09,FEMALE,millardandcoolidge@yahoomail.com,SOFTWARE,40,5,6,194,C.W. OF IND. STATES ,Armenia ,Yerevan,2016-Jun-03 10:19:31,Mrs.Millard,Coolidge,2016,6,9,23,2
1464930000000.0,2016-06-08,MALE,thomas.roosevelt@outlook.com,FURNITURE,450,5,3,2247,C.W. OF IND. STATES ,Armenia ,Yerevan,2016-Jun-03 10:19:31,Mr.Thomas,Roosevelt,2016,6,8,23,2
1464930000000.0,2016-06-06,MALE,benjamin.2015-fillmore-boom@gmail.com,ELECTRONICS,800,4,7,3193,ASIA (EX. NEAR EAST)         ,Japan ,Tokyo,2016-Jun-03 10:19:31,Mr.Benjamin,Fillmore,2016,6,6,23,2
1464930000000.0,2016-06-05,MALE,l@hotmail.com,CUTLERY,75,8,2,598,NEAR EAST                          ,Qatar ,Doha,2016-Jun-03 10:19:33,Mr.Lyndon,Buchanan,2016,6,5,22,2
1464930000000.0,2016-06-06,MALE,theodoreandcleveland@yahoomail.com,CROCKERY,30,1,4,26,OCEANIA                            ,Tuvalu ,Funafuti,2016-Jun-03 10:19:35,Mr.Theodore,Cleveland,2016,6,6,23,2
